pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-29,92.8,0.87,6.02,"Dreyer, Jack",521692,676263,field_out,hit_into_play,,,,,5.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,X,5.0,popup,3,2,2025,0.55,1.62,-0.16,2.54,,,,2,9,Bot,91.01,177.53,,,,,-3.857560354203898,-134.98942333279018,-6.653102499147786,7.606102976941118,30.362400735650816,-11.135397107582058,3.65,1.69,95.0,98.6,72.0,93.1,2362.0,6.6,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.92,0.009,0.009,0.0,1.0,0.0,0.0,3.0,67,10,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,160.0,-0.001,-0.325,80.5,9.0,0.011,0.325,98.6,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,1.04,0.55,-0.55,60.5,24.235024594856927,-26.950821431959863,33.76472247197681,33.64235654226776,39.13848046411078
FF,2025-06-29,93.4,0.89,5.98,"Dreyer, Jack",521692,676263,,ball,,,,,13.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,B,,,2,2,2025,0.53,1.65,-0.97,1.1,,,,2,9,Bot,,,,,,,-5.974673122551458,-135.53133753567403,-10.48389992867754,7.845810902202389,29.325897552520697,-9.727909230120847,3.82,1.7,,,,93.8,2408.0,6.7,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.82,,,,,,,,67,9,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,162.0,0.0,0.106,,,,-0.106,,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,0.98,0.53,-0.53,61.1,,,,,
CU,2025-06-29,80.2,1.33,5.99,"Dreyer, Jack",521692,676263,,ball,,,,,3.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,B,,,1,2,2025,-0.41,-1.12,0.56,3.47,,,,2,9,Bot,,,,,,,-0.9503748429532588,-116.71313197614992,3.2975091386793105,-3.556858165581956,22.45139385301261,-43.23938470650735,3.62,1.67,,,,80.6,2394.0,6.6,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.91,,,,,,,,67,8,Curveball,1,5,1,5,5,1,1,5,Standard,Standard,344.0,0.0,0.039,,,,-0.039,,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,4.67,-0.41,0.41,58.0,,,,,
FF,2025-06-29,93.9,0.82,6.03,"Dreyer, Jack",521692,676263,,foul,,,,,3.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,1,2,2025,0.67,1.62,0.29,3.23,,,,2,9,Bot,,,,,,,-2.8791886132074715,-136.73163439489977,-5.130516003891964,9.026484637346874,31.20186804089488,-10.901231355286036,3.65,1.69,258.0,75.6,40.0,94.2,2399.0,6.5,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.98,,,,,,,,67,7,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,164.0,0.0,0.0,73.3,7.7,,0.0,88.0,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,0.97,0.67,-0.67,58.6,13.979922099201318,-8.336431387223135,26.43911443427304,38.84702455087482,25.411579235863485
SL,2025-06-29,89.1,1.28,6.02,"Dreyer, Jack",521692,676263,,foul,,,,,4.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,1,2,2025,-0.16,0.17,-0.42,2.59,,,,2,9,Bot,,,,,,,-3.887392136697276,-129.7762680085256,-2.80987316063904,-1.0171483359506912,25.578056750193607,-29.842500085790924,3.65,1.69,131.0,68.4,71.0,89.8,2360.0,6.5,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.97,,,,,,,,67,6,Slider,1,5,1,5,5,1,1,5,Standard,Standard,171.0,0.0,0.0,71.9,7.7,,0.0,88.0,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,2.68,-0.16,0.16,57.9,7.694374163729864,-7.985277971077791,31.232441648298828,31.38296466744431,28.28001475182798
FF,2025-06-29,94.3,0.83,6.05,"Dreyer, Jack",521692,676263,,ball,,,,,1.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,B,,,0,2,2025,0.42,1.59,-0.51,3.72,,,,2,9,Bot,,,,,,,-4.430606537418066,-137.1980860949434,-3.881592770098029,6.307586403304688,31.63964189133909,-11.492504572612482,3.71,1.66,,,,94.5,2435.0,6.5,777304,669257,571771,808975,571970,605141,681624,669242,606192,54.01,,,,,,,,67,5,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,158.0,0.0,0.023,,,,-0.023,,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,0.98,0.42,-0.42,58.7,,,,,
FF,2025-06-29,94.2,0.79,6.06,"Dreyer, Jack",521692,676263,,foul,,,,,5.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,0,2,2025,0.56,1.73,-0.08,2.68,,,,2,9,Bot,,,,,,,-3.5156493321093434,-137.03542373349194,-6.944696491456469,7.876579456138905,30.18857057998713,-9.07206062081386,3.65,1.69,136.0,78.3,11.0,94.7,2482.0,6.6,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.9,,,,,,,,67,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,162.0,0.0,0.0,75.7,7.3,,0.0,88.0,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,0.84,0.56,-0.56,60.1,4.560600773198242,4.825040230032724,31.859411708281257,34.538172721063155,22.77475043431588
SL,2025-06-29,89.6,1.27,6.08,"Dreyer, Jack",521692,676263,,foul,,,,,6.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,0,2,2025,0.07,0.33,0.66,2.81,,,,2,9,Bot,,,,,,,-1.666974555496664,-130.6887288779148,-2.870345737363608,1.1627752859941007,23.821612187397086,-28.02062948480539,3.65,1.69,184.0,75.8,61.0,90.2,2547.0,6.2,777304,669257,571771,808975,571970,605141,681624,669242,606192,54.25,,,,,,,,67,3,Slider,1,5,1,5,5,1,1,5,Standard,Standard,182.0,0.0,0.0,71.5,7.7,,0.0,88.0,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,2.47,0.07,-0.07,56.8,3.587389233726044,7.714466169388646,29.93424509898087,43.71672148101421,21.98448555244196
SL,2025-06-29,89.0,1.34,6.0,"Dreyer, Jack",521692,676263,,swinging_strike,,,,,3.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,0,1,2025,-0.09,0.27,0.41,3.48,,,,2,9,Bot,,,,,,,-2.1035720261286714,-129.71707237909644,-0.8334233760699581,-0.677714720809182,23.39394029491541,-29.079108501406843,3.65,1.69,,,,90.2,2485.0,6.6,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.9,,,,,,,,67,2,Slider,1,5,1,5,5,1,1,5,Standard,Standard,188.0,0.0,-0.058,72.0,6.9,,0.058,,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,2.56,-0.09,0.09,58.2,3.084087117407355,23.635512558455616,26.639611857373986,40.139629854596656,11.63112957689993
FF,2025-06-29,92.5,0.89,6.02,"Dreyer, Jack",521692,676263,,called_strike,,,,,8.0,Salvador Perez pops out to third baseman Max Muncy in foul territory.,R,R,L,KC,LAD,S,,,0,0,2025,0.66,1.73,-0.01,1.86,,,,2,9,Bot,,,,,,,-3.756005692167526,-134.49219892282693,-8.626664210902968,8.775191861789157,29.56605651529909,-9.438049245888728,3.55,1.53,,,,93.1,2528.0,6.7,777304,669257,571771,808975,571970,605141,681624,669242,606192,53.8,,,,,,,,67,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,156.0,0.0,-0.041,,,,0.041,,-4,-4,0.001,0.001,26,35,26,35,1,3,5.0,1.0,,,0.94,0.66,-0.66,61.3,,,,,
