pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-29,90.3,1.76,5.4,"Strahm, Matt",656413,621381,field_out,hit_into_play,,,,,5.0,Stuart Fairchild flies out to center fielder Brandon Marsh.,R,R,L,ATL,PHI,X,8.0,fly_ball,1,1,2025,1.04,1.46,-0.16,2.65,645277.0,,642201.0,2,9,Bot,164.99,53.8,,,,,-6.978788955414659,-131.33074390534847,-4.009510881858,13.497550146920869,27.93944793596715,-14.597460908478444,3.56,1.66,372.0,95.3,33.0,90.2,2488.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.22,0.114,0.199,0.0,1.0,0.0,0.0,3.0,71,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,135.0,-0.195,-0.284,69.6,6.8,0.381,0.284,95.3,-1,-1,0.195,0.195,33,29,34,29,1,3,4.0,1.0,,,1.34,1.04,-1.04,29.4,12.599196013999835,9.609201540335208,38.13370568897391,31.50104791709375,30.426541500190723
FF,2025-06-29,91.5,1.78,5.38,"Strahm, Matt",656413,621381,,called_strike,,,,,1.0,Stuart Fairchild flies out to center fielder Brandon Marsh.,R,R,L,ATL,PHI,S,,,1,0,2025,1.03,1.37,-0.58,3.14,645277.0,,642201.0,2,9,Bot,,,,,,,-8.178704152365176,-133.05638533805865,-2.742709300627172,13.948809712495777,28.774228182674705,-15.448476600146972,3.42,1.64,,,,91.4,2503.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.2,,,,,,,,71,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,135.0,0.0,-0.045,,,,0.045,,-1,-1,0.195,0.195,33,29,34,29,1,3,4.0,1.0,,,1.35,1.03,-1.03,31.1,,,,,
SL,2025-06-29,81.3,1.97,5.45,"Strahm, Matt",656413,621381,,ball,,,,,14.0,Stuart Fairchild flies out to center fielder Brandon Marsh.,R,R,L,ATL,PHI,B,,,0,0,2025,-0.63,0.24,0.04,1.14,645277.0,,642201.0,2,9,Bot,,,,,,,-3.121432423983165,-118.46959887336354,-3.557691704900076,-5.4319761747623705,21.08124952311099,-29.51175841251622,3.42,1.59,,,,81.6,2667.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.21,,,,,,,,71,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard,268.0,0.0,0.03,,,,-0.03,,-1,-1,0.195,0.195,33,29,34,29,1,3,4.0,1.0,,,3.18,-0.63,0.63,32.5,,,,,
FC,2025-06-29,87.6,1.94,5.11,"Strahm, Matt",642201,621381,walk,ball,,,,,13.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,B,,,3,2,2025,0.74,0.6,-0.45,0.6,,,645277.0,2,9,Bot,,,,,,,-7.294808176625722,-127.36149485569668,-6.039105155507567,9.492454806197673,23.802684732243048,-24.656875569318142,3.67,1.71,,,,87.7,2582.0,6.2,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.29,,0.693943,0.7,1.0,0.0,0.0,,70,6,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,139.0,0.099,0.217,,,,-0.217,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,2.36,0.74,-0.74,26.6,,,,,
FF,2025-06-29,92.1,1.79,5.33,"Strahm, Matt",642201,621381,,called_strike,,,,,13.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,S,,,3,1,2025,1.15,1.11,-0.97,2.02,,,645277.0,2,9,Bot,,,,,,,-9.496539447229148,-133.84474206894097,-5.0078790664610855,15.819955487887212,26.694690874176185,-17.880314640629106,3.7,1.64,,,,92.4,2541.0,6.4,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.12,,,,,,,,70,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,130.0,0.0,-0.065,,,,0.065,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,1.57,1.15,-1.15,27.7,,,,,
FF,2025-06-29,93.2,1.75,5.34,"Strahm, Matt",642201,621381,,called_strike,,,,,7.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,S,,,3,0,2025,1.05,1.14,-0.61,2.24,,,645277.0,2,9,Bot,,,,,,,-8.369864228302262,-135.48047358580865,-4.689113302857055,14.730036974750336,28.987418776480805,-17.291055361886205,3.58,1.64,,,,93.2,2572.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.21,,,,,,,,70,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,134.0,0.0,-0.046,,,,0.046,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,1.49,1.05,-1.05,28.7,,,,,
FC,2025-06-29,87.8,1.96,5.37,"Strahm, Matt",642201,621381,,ball,,,,,11.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,B,,,2,0,2025,0.22,0.62,-1.03,3.03,,,645277.0,2,9,Bot,,,,,,,-7.706953680044966,-127.72267033896216,-0.9072621558173508,3.871305630097563,23.082363274265063,-25.30979250382432,3.72,1.66,,,,88.2,2570.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.24,,,,,,,,70,3,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,153.0,0.0,0.076,,,,-0.076,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,2.31,0.22,-0.22,29.4,,,,,
SL,2025-06-29,80.3,1.79,5.55,"Strahm, Matt",642201,621381,,blocked_ball,,,,,13.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,B,,,1,0,2025,-0.29,0.01,-0.68,0.9,,,645277.0,2,9,Bot,,,,,,,-4.891771245972126,-116.73847402633515,-3.550965315561035,-1.6139752879915237,24.04553984746929,-31.594144507992453,3.67,1.71,,,,79.9,2665.0,6.3,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.23,,,,,,,,70,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,261.0,0.0,0.05,,,,-0.05,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,3.56,-0.29,0.29,34.4,,,,,
FC,2025-06-29,87.4,1.96,5.46,"Strahm, Matt",642201,621381,,ball,,,,,12.0,Eli White walks. Ozzie Albies to 3rd. Wild pitch by pitcher Matt Strahm. Ozzie Albies to 3rd.,R,R,L,ATL,PHI,B,,,0,0,2025,0.18,1.11,0.48,3.82,,,645277.0,2,9,Bot,,,,,,,-3.940063124435107,-127.39003572277676,-0.1524905837064328,2.7070560856700965,23.40403254504922,-20.189088979693523,3.65,1.64,,,,87.7,2517.0,6.2,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.35,,,,,,,,70,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,158.0,0.0,0.034,,,,-0.034,,-1,-1,0.096,0.096,33,31,34,31,1,3,4.0,1.0,,,1.84,0.18,-0.18,30.8,,,,,
SL,2025-06-29,80.5,1.76,5.6,"Strahm, Matt",669221,621381,field_out,hit_into_play,,,,,6.0,Sean Murphy flies out to center fielder Brandon Marsh.,R,R,L,ATL,PHI,X,8.0,fly_ball,1,2,2025,-0.48,0.06,0.81,2.22,,,645277.0,1,9,Bot,157.3,52.17,,,,,-1.2088755242865272,-117.43265431328098,-1.0772176099200972,-4.292803181744028,19.45150371086605,-31.57898880000329,3.42,1.62,371.0,94.3,27.0,80.8,2764.0,6.1,777316,592663,805249,681082,664761,607208,596146,669016,592206,54.45,0.149,0.194,0.0,1.0,0.0,0.0,3.0,69,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,254.0,-0.11,-0.186,62.7,7.8,0.328,0.186,94.3,-1,-1,0.206,0.206,33,30,34,31,1,3,4.0,1.0,,,3.4,-0.48,0.48,35.3,11.776365899704524,5.358746393827854,28.117010126735742,48.80564077949139,30.79170657766081
