pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-06-29,87.0,-1.7,5.91,"Vasil, Mike",573262,678024,grounded_into_double_play,hit_into_play,,,,,7.0,"Mike Yastrzemski grounds into a double play, first baseman Ryan Noda to shortstop Chase Meidroth to first baseman Ryan Noda. Wilmer Flores out at 2nd. Mike Yastrzemski out at 1st.",R,L,R,CWS,SF,X,3.0,ground_ball,1,1,2025,-0.6,-0.26,-0.32,1.91,,,527038.0,1,9,Top,154.79,168.08,,,,,4.56811221723686,-126.69517328961234,-2.908213220937391,-7.436766743132878,26.334965481885927,-34.53121622915961,3.37,1.58,23.0,97.1,-4.0,87.0,1350.0,6.3,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.19,0.283,0.249,0.0,1.0,0.0,0.0,2.0,79,3,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,255.0,0.033,-0.303,72.7,8.1,0.312,0.303,97.1,3,-3,0.967,0.033,25,34,25,35,1,4,5.0,1.0,,,3.27,0.6,-0.6,27.9,15.788940293263927,-9.369008497703955,32.993240674650615,35.39210909112745,38.77843613336833
SI,2025-06-29,95.4,-1.71,5.82,"Vasil, Mike",573262,678024,,foul,,,,,1.0,"Mike Yastrzemski grounds into a double play, first baseman Ryan Noda to shortstop Chase Meidroth to first baseman Ryan Noda. Wilmer Flores out at 2nd. Mike Yastrzemski out at 1st.",R,L,R,CWS,SF,S,,,1,0,2025,-1.43,0.05,-0.48,2.97,,,527038.0,1,9,Top,,,,,,,6.413028758590098,-138.6740982494145,-1.864088972408969,-19.83726725273004,36.165173111739286,-31.330389801096963,3.37,1.58,188.0,77.8,18.0,94.5,2116.0,6.2,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.29,,,,,,,,79,2,Sinker,5,2,2,5,2,5,2,5,Infield shade,Standard,235.0,0.0,-0.047,72.4,7.3,,0.047,88.0,3,-3,0.967,0.033,25,34,25,35,1,4,5.0,1.0,,,2.5,1.43,-1.43,26.4,6.687583644484801,5.11732842451667,28.133040065418484,37.194101841346544,22.703135693153847
SI,2025-06-29,94.6,-1.73,5.81,"Vasil, Mike",573262,678024,,ball,,,,,11.0,"Mike Yastrzemski grounds into a double play, first baseman Ryan Noda to shortstop Chase Meidroth to first baseman Ryan Noda. Wilmer Flores out at 2nd. Mike Yastrzemski out at 1st.",R,L,R,CWS,SF,B,,,0,0,2025,-1.18,0.11,-1.25,2.96,,,527038.0,1,9,Top,,,,,,,3.886292600732885,-137.59225374191996,-1.945297724154356,-15.84714467443181,34.55797483482074,-30.494836244075,3.42,1.66,,,,93.7,2111.0,6.1,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.4,,,,,,,,79,1,Sinker,5,2,2,5,2,5,2,5,Infield shade,Standard,226.0,0.0,0.036,,,,-0.036,,3,-3,0.967,0.033,25,34,25,35,1,4,5.0,1.0,,,2.46,1.18,-1.18,23.3,,,,,
CU,2025-06-29,80.2,-1.36,6.2,"Vasil, Mike",527038,678024,walk,ball,,,,,11.0,Wilmer Flores walks.,R,R,R,CWS,SF,B,,,3,2,2025,1.04,-1.27,-1.2,5.05,,,,1,9,Top,,,,,,,-1.6007439202489566,-116.45952811307984,6.596630162506392,9.667965067672853,25.01462150638145,-45.25939308663035,3.2,1.49,,,,78.9,2599.0,5.9,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.65,,0.693943,0.7,1.0,0.0,0.0,,78,7,Curveball,5,2,2,5,2,5,2,5,Standard,Standard,38.0,-0.02,0.348,,,,-0.348,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,4.87,-1.04,-1.04,35.7,,,,,
SI,2025-06-29,94.5,-1.46,5.91,"Vasil, Mike",527038,678024,,foul,,,,,5.0,Wilmer Flores walks.,R,R,R,CWS,SF,S,,,3,2,2025,-1.07,0.44,-0.05,2.58,,,,1,9,Top,,,,,,,6.046329807840867,-137.47390282759437,-3.932137274742017,-14.975248700898836,32.18719286072373,-25.90597674096412,3.25,1.56,9.0,90.3,-16.0,94.0,2257.0,6.1,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.36,,,,,,,,78,6,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,213.0,0.0,0.0,67.6,6.9,,0.0,90.3,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.13,1.07,1.07,27.8,20.412286429073102,-12.588683409355513,29.39327507194041,31.86416340232686,37.323648298411214
SI,2025-06-29,95.6,-1.51,5.87,"Vasil, Mike",527038,678024,,ball,,,,,14.0,Wilmer Flores walks.,R,R,R,CWS,SF,B,,,2,2,2025,-1.31,0.42,1.07,1.8,,,,1,9,Top,,,,,,,9.671140900856509,-138.66783328192727,-5.929931016417017,-19.15591639616867,34.594258961008194,-25.53244174477533,3.17,1.63,,,,94.5,2214.0,6.1,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.43,,,,,,,,78,5,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,221.0,0.0,0.108,,,,-0.108,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.12,1.31,1.31,28.8,,,,,
SI,2025-06-29,95.2,-1.53,5.93,"Vasil, Mike",527038,678024,,called_strike,,,,,8.0,Wilmer Flores walks.,R,R,R,CWS,SF,S,,,2,1,2025,-1.23,0.22,0.05,1.76,,,,1,9,Top,,,,,,,6.911263419320791,-138.2719475101947,-5.696919308633907,-17.379870796777123,34.51202084191407,-28.1783975486994,3.21,1.59,,,,94.7,2146.0,6.4,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.13,,,,,,,,78,4,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,221.0,0.0,-0.078,,,,0.078,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.33,1.23,1.23,25.2,,,,,
SI,2025-06-29,95.3,-1.61,5.95,"Vasil, Mike",527038,678024,,ball,,,,,11.0,Wilmer Flores walks.,R,R,R,CWS,SF,B,,,1,1,2025,-1.2,0.01,-0.51,3.56,,,,1,9,Top,,,,,,,5.5870720795326685,-138.60545565026354,-0.643217657932719,-16.723706067152765,33.12487383725663,-32.0693071394683,3.21,1.59,,,,94.8,2231.0,6.2,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.3,,,,,,,,78,3,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,220.0,0.0,0.059,,,,-0.059,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.51,1.2,1.2,25.5,,,,,
SI,2025-06-29,94.8,-1.59,5.9,"Vasil, Mike",527038,678024,,called_strike,,,,,7.0,Wilmer Flores walks.,R,R,R,CWS,SF,S,,,1,0,2025,-1.35,0.23,-0.5,2.03,,,,1,9,Top,,,,,,,5.854407293125011,-137.86954064090264,-4.903280751471054,-18.51958710560193,33.92050639337472,-28.220366009153,3.2,1.63,,,,94.1,2245.0,6.2,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.35,,,,,,,,78,2,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,221.0,0.0,-0.051,,,,0.051,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.33,1.35,1.35,28.8,,,,,
SI,2025-06-29,94.6,-1.6,5.96,"Vasil, Mike",527038,678024,,ball,,,,,11.0,Wilmer Flores walks.,R,R,R,CWS,SF,B,,,0,0,2025,-1.48,0.14,-0.95,2.55,,,,1,9,Top,,,,,,,4.954046546420098,-137.53489164922635,-3.412899615006696,-19.785436783846954,35.08460601288014,-29.836328751389274,3.25,1.66,,,,93.6,2291.0,6.1,777311,691019,676116,672820,668942,805367,643217,572191,596103,54.42,,,,,,,,78,1,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,223.0,0.0,0.039,,,,-0.039,,3,-3,0.987,0.013,25,33,25,34,1,4,5.0,2.0,,,2.45,1.48,1.48,27.3,,,,,
