pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-06-29,96.8,3.03,5.81,"Hader, Josh",663538,623352,field_out,hit_into_play,,,,,4.0,Nico Hoerner pops out to catcher Yainer Diaz in foul territory.,R,R,L,HOU,CHC,X,2.0,popup,1,0,2025,0.6,1.47,-0.59,2.74,,,,2,9,Top,148.72,207.35,,,,,-11.045283766970364,-140.4328268403641,-5.92418217094434,10.694148357213106,35.41913578302938,-11.484542240390548,3.4,1.58,52.0,74.0,83.0,96.5,2444.0,6.5,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.95,0.003,0.004,0.0,1.0,0.0,0.0,3.0,67,2,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,148.0,0.011,-0.295,72.4,7.2,0.005,0.295,88.0,2,-2,0.989,0.011,31,28,31,28,1,3,2.0,1.0,,,1.0,0.6,-0.6,30.6,8.187567114914085,-9.004368350167038,31.746030890911072,27.75285478311803,29.995660653128848
SL,2025-06-29,84.6,3.33,5.6,"Hader, Josh",663538,623352,,ball,,,,,12.0,Nico Hoerner pops out to catcher Yainer Diaz in foul territory.,R,R,L,HOU,CHC,B,,,0,0,2025,-0.22,0.1,1.63,2.84,,,,2,9,Top,,,,,,,-3.5181262171481458,-123.0921116263121,-0.2144075729042496,-1.4065213486240336,27.509239486247285,-31.33274006861818,3.31,1.48,,,,84.1,2627.0,6.2,777308,673237,572233,514888,641645,643289,669450,676694,701358,54.26,,,,,,,,67,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,313.0,0.0,0.04,,,,-0.04,,2,-2,0.989,0.011,31,28,31,28,1,3,2.0,1.0,,,3.12,-0.22,0.22,29.3,,,,,
SI,2025-06-29,96.8,3.02,5.69,"Hader, Josh",608348,623352,field_out,hit_into_play,,,,,7.0,Carson Kelly flies out to right fielder Cam Smith.,R,R,L,HOU,CHC,X,9.0,fly_ball,2,2,2025,0.77,1.58,-0.39,2.04,,,,1,9,Top,164.21,101.9,,,,,-10.93126918497678,-140.33057999647312,-7.751423982087531,12.757277948581278,34.680574511816204,-9.688313259323705,3.41,1.6,261.0,81.9,45.0,97.0,2435.0,6.8,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.69,0.02,0.025,0.0,1.0,0.0,0.0,3.0,66,5,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,151.0,0.023,-0.225,72.8,7.0,0.035,0.225,88.0,2,-2,0.966,0.034,31,30,31,31,1,3,2.0,2.0,,,0.89,0.77,-0.77,29.1,7.224492045158168,1.402708254067948,38.38049350618043,33.27311594795907,26.79999917939784
SI,2025-06-29,97.3,3.09,5.74,"Hader, Josh",608348,623352,,ball,,,,,14.0,Carson Kelly flies out to right fielder Cam Smith.,R,R,L,HOU,CHC,B,,,1,2,2025,0.78,1.56,1.29,1.93,,,,1,9,Top,,,,,,,-6.632854350228764,-141.31032146919375,-8.240078331904371,11.97129112279087,35.21783970890496,-9.539964503280707,3.37,1.63,,,,97.2,2381.0,6.6,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.95,,,,,,,,66,4,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,145.0,0.0,0.043,,,,-0.043,,2,-2,0.966,0.034,31,30,31,31,1,3,2.0,2.0,,,0.87,0.78,-0.78,28.8,,,,,
SI,2025-06-29,97.0,3.13,5.75,"Hader, Josh",608348,623352,,ball,,,,,11.0,Carson Kelly flies out to right fielder Cam Smith.,R,R,L,HOU,CHC,B,,,0,2,2025,1.04,1.59,-1.16,3.2,,,,1,9,Top,,,,,,,-13.852458994522417,-140.49653256997672,-4.847828782487465,17.147816957744162,34.48974955552633,-10.185281082578005,3.43,1.7,,,,96.6,2471.0,6.5,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.99,,,,,,,,66,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,147.0,0.0,0.02,,,,-0.02,,2,-2,0.966,0.034,31,30,31,31,1,3,2.0,2.0,,,0.87,1.04,-1.04,29.0,,,,,
SI,2025-06-29,96.4,3.02,5.72,"Hader, Josh",608348,623352,,swinging_strike,,,,,11.0,Carson Kelly flies out to right fielder Cam Smith.,R,R,L,HOU,CHC,S,,,0,1,2025,0.64,1.68,-0.47,3.58,,,,1,9,Top,,,,,,,-10.76686892217032,-139.81196329901107,-3.854185772175462,11.120820776056622,35.67287637989738,-9.5378784343285,3.41,1.6,,,,96.0,2453.0,6.6,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.95,,,,,,,,66,2,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,148.0,0.0,-0.057,63.6,5.3,,0.057,,2,-2,0.966,0.034,31,30,31,31,1,3,2.0,2.0,,,0.81,0.64,-0.64,29.4,-1.0534238724703195,19.499981639012205,31.52212163253764,31.440667015300725,17.771568448347693
SI,2025-06-29,96.2,3.06,5.74,"Hader, Josh",608348,623352,,called_strike,,,,,14.0,Carson Kelly flies out to right fielder Cam Smith.,R,R,L,HOU,CHC,S,,,0,0,2025,0.91,1.52,1.03,2.42,,,,1,9,Top,,,,,,,-7.490444125353265,-139.75882346334308,-6.664808777935046,13.621247368732131,34.30455541183854,-10.893809851088776,3.35,1.66,,,,96.4,2439.0,6.7,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.78,,,,,,,,66,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,145.0,0.0,-0.037,,,,0.037,,2,-2,0.966,0.034,31,30,31,31,1,3,2.0,2.0,,,0.97,0.91,-0.91,24.3,,,,,
SI,2025-06-29,95.7,2.92,5.79,"Hader, Josh",691718,623352,strikeout,swinging_strike,,,,,12.0,Pete Crow-Armstrong strikes out swinging.,R,L,L,HOU,CHC,S,2.0,,1,2,2025,0.74,1.63,0.84,3.64,,,,0,9,Top,,,,,,,-7.172946762700872,-139.07406595436586,-3.678882548399542,11.243751098510542,34.184208213973726,-10.480552303595973,3.11,1.44,,,,95.6,2324.0,6.5,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.99,,0.0,0.0,1.0,0.0,0.0,,65,4,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,149.0,0.037,-0.186,73.4,6.4,,0.186,,2,-2,0.929,0.071,31,23,31,23,1,3,2.0,1.0,,,0.89,0.74,0.74,30.2,17.694199856166613,-9.023941468674863,22.06565964119088,26.14314990018391,35.40261224670286
SI,2025-06-29,96.7,3.17,5.56,"Hader, Josh",691718,623352,,ball,,,,,11.0,Pete Crow-Armstrong strikes out swinging.,R,L,L,HOU,CHC,B,,,0,2,2025,0.92,1.53,-1.83,2.93,,,,0,9,Top,,,,,,,-15.459391705831775,-139.91806696911183,-4.872537608156472,15.815934027330629,34.145855854169874,-11.127176187491193,3.08,1.38,,,,96.5,2427.0,6.7,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.83,,,,,,,,65,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,142.0,0.0,0.023,,,,-0.023,,2,-2,0.929,0.071,31,23,31,23,1,3,2.0,1.0,,,0.95,0.92,0.92,25.0,,,,,
SI,2025-06-29,96.8,3.49,5.57,"Hader, Josh",691718,623352,,swinging_strike,,,,,12.0,Pete Crow-Armstrong strikes out swinging.,R,L,L,HOU,CHC,S,,,0,1,2025,1.01,1.51,0.73,3.94,,,,0,9,Top,,,,,,,-9.709782050096925,-140.51029341217782,-2.159281113585909,15.768266056575918,35.69158896458992,-12.073025839064956,3.11,1.44,,,,96.6,2424.0,6.6,777308,673237,572233,514888,641645,643289,669450,676694,701358,53.93,,,,,,,,65,2,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,144.0,0.0,-0.054,75.4,7.1,,0.054,,2,-2,0.929,0.071,31,23,31,23,1,3,2.0,1.0,,,0.96,1.01,1.01,23.7,23.99975456803873,-21.9978082891324,20.84220465674132,28.00660710431882,41.242078486828646
