pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-06-29,93.7,2.0,5.54,"King, John",680757,667463,field_out,hit_into_play,,,,,6.0,Steven Kwan flies out to left fielder José Fermín.,R,L,L,CLE,STL,X,7.0,fly_ball,1,0,2025,1.07,0.44,0.45,2.5,671286.0,,,2,9,Bot,82.13,104.24,,,,,-6.341522049863169,-136.44069738042464,-3.1317779631033607,14.678566786538848,27.12525554832143,-26.18281410926964,3.14,1.45,260.0,80.7,35.0,94.0,2287.0,6.2,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.31,0.037,0.048,0.0,1.0,0.0,0.0,3.0,78,2,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,126.0,0.0,-0.303,61.8,5.8,0.071,0.303,88.0,-7,-7,0.0,0.0,30,27,31,28,1,4,4.0,1.0,,,2.13,1.07,1.07,27.7,-1.797417920032608,3.5755626789470907,36.42468511017014,26.74719323819008,29.2110424959218
SL,2025-06-29,84.4,2.0,5.54,"King, John",680757,667463,,ball,,,,,13.0,Steven Kwan flies out to left fielder José Fermín.,R,L,L,CLE,STL,B,,,0,0,2025,-0.47,-0.12,-0.51,1.28,671286.0,,,2,9,Bot,,,,,,,-4.901039599927959,-122.97336387962063,-3.371083749993019,-3.98143060956777,21.892037282564885,-33.02908340146026,3.14,1.45,,,,84.6,2948.0,6.1,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.4,,,,,,,,78,1,Slider,0,7,0,7,7,0,0,7,Standard,Standard,314.0,0.0,0.032,,,,-0.032,,-7,-7,0.0,0.0,30,27,31,28,1,4,4.0,1.0,,,3.29,-0.47,-0.47,34.8,,,,,
SI,2025-06-29,93.2,2.17,5.52,"King, John",595978,667463,field_out,hit_into_play,,,,,14.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,X,9.0,fly_ball,3,2,2025,1.07,0.32,0.89,2.28,,671286.0,,1,9,Bot,171.18,73.94,,,,,-5.617368632488333,-135.69791697441195,-3.302248930428674,14.404767955696416,27.16764270662751,-27.73690989074253,3.29,1.5,330.0,94.4,35.0,93.3,2373.0,6.1,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.38,0.063,0.109,0.0,1.0,0.0,0.0,3.0,77,8,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,126.0,-0.001,-0.277,69.7,7.5,0.207,0.277,94.4,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,2.28,1.07,-1.07,27.3,11.263857464201903,4.136496259741063,30.04531508385122,45.80233136005744,27.69114077967285
SI,2025-06-29,95.5,1.86,5.56,"King, John",595978,667463,,ball,,,,,13.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,B,,,2,2,2025,1.1,0.53,-0.95,1.33,,671286.0,,1,9,Bot,,,,,,,-9.849084734893404,-138.742982729557,-6.693400952756056,16.382458191382288,29.39707652926309,-24.041015040975623,3.29,1.41,,,,95.4,2394.0,6.2,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.31,,,,,,,,77,7,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,130.0,0.0,0.074,,,,-0.074,,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,1.97,1.1,-1.1,32.6,,,,,
CU,2025-06-29,80.3,2.07,5.81,"King, John",595978,667463,,foul,,,,,9.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,S,,,2,2,2025,-0.88,-1.19,0.68,1.98,,671286.0,,1,9,Bot,,,,,,,-1.4142472576589755,-116.93674077457412,0.5304305329251191,-7.6940876932266065,24.848267582715188,-43.35950320466298,3.29,1.5,143.0,76.3,67.0,79.2,3060.0,5.8,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.74,,,,,,,,77,6,Curveball,0,7,0,7,7,0,0,7,Standard,Standard,322.0,0.0,0.0,68.5,7.6,,0.0,88.0,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,4.76,-0.88,0.88,36.9,9.744979980003382,2.680994845709973,29.883303526345216,43.38761270762451,32.455341197896544
SI,2025-06-29,94.0,1.97,5.55,"King, John",595978,667463,,foul,,,,,2.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,S,,,2,2,2025,1.04,0.51,0.02,3.06,,671286.0,,1,9,Bot,,,,,,,-7.335957387057959,-136.8252598600575,-1.930268115710465,14.599312749467094,26.2042110572868,-25.494580154280285,3.29,1.5,215.0,76.7,49.0,94.3,2303.0,6.1,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.35,,,,,,,,77,5,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,123.0,0.0,0.0,60.9,6.3,,0.0,88.0,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,2.04,1.04,-1.04,32.5,1.3106068306045933,24.40048986306189,30.15094252563912,34.85582177816917,18.185569481070864
CU,2025-06-29,80.6,2.05,5.72,"King, John",595978,667463,,ball,,,,,14.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,B,,,1,2,2025,-0.71,-1.07,0.4,0.93,,671286.0,,1,9,Bot,,,,,,,-2.314424441761202,-117.46539292812018,-1.9665556822500367,-6.172715190230648,21.843903391737346,-41.93624881660783,3.29,1.47,,,,80.2,2960.0,5.9,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.58,,,,,,,,77,4,Curveball,0,7,0,7,7,0,0,7,Standard,Standard,323.0,0.0,0.018,,,,-0.018,,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,4.56,-0.71,0.71,30.3,,,,,
CH,2025-06-29,88.0,2.06,5.51,"King, John",595978,667463,,foul,,,,,7.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,S,,,1,1,2025,1.26,0.25,-0.74,1.6,,671286.0,,1,9,Bot,,,,,,,-9.365165228543145,-127.89364398138204,-3.920951279523529,15.67397971159191,24.64977882336073,-28.829965506843337,3.29,1.5,4.0,92.9,-21.0,87.9,1840.0,6.1,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.37,,,,,,,,77,3,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,121.0,0.0,-0.062,71.6,8.1,,0.062,92.9,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,2.69,1.26,-1.26,30.3,28.660037629398108,-24.55004728777409,36.26877186827288,26.55735448155768,44.39093429417403
SI,2025-06-29,93.5,2.06,5.53,"King, John",595978,667463,,swinging_strike,,,,,7.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,S,,,1,0,2025,1.28,0.25,-0.39,1.54,,671286.0,,1,9,Bot,,,,,,,-9.087492828856409,-135.79861522942355,-5.042433441997901,17.846873501035617,29.72576571766629,-28.151738325214403,3.29,1.5,,,,93.0,2350.0,6.1,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.37,,,,,,,,77,2,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,125.0,0.0,-0.043,73.3,7.8,,0.043,,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,2.37,1.28,-1.28,30.6,16.324469512542823,-8.230598278525848,38.44711631302408,30.74447259049992,32.68918389542893
SI,2025-06-29,92.4,1.87,5.51,"King, John",595978,667463,,ball,,,,,13.0,Austin Hedges flies out to right fielder Garrett Hampson. Johnathan Rodríguez to 3rd.,R,R,L,CLE,STL,B,,,0,0,2025,1.17,0.46,-1.06,0.71,,,671286.0,1,9,Bot,,,,,,,-9.973282133421248,-134.14691954589625,-7.436317821254024,16.17246935799387,25.46268791696855,-25.223732993473728,3.29,1.46,,,,92.5,2238.0,6.2,777309,686780,575929,680977,695336,691026,665877,687363,641658,54.32,,,,,,,,77,1,Sinker,0,7,0,7,7,0,0,7,Standard,Standard,127.0,0.0,0.036,,,,-0.036,,-7,-7,0.001,0.001,30,32,31,33,1,3,4.0,1.0,,,2.19,1.17,-1.17,27.1,,,,,
