pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-06-29,87.0,-1.86,5.2,"Henriquez, Ronny",645444,678692,strikeout,swinging_strike_blocked,,,,,14.0,Jose Herrera strikes out swinging.,R,L,R,AZ,MIA,S,2.0,,2,2,2025,0.68,0.72,0.54,0.82,,,,2,9,Bot,,,,,,,4.383356795066767,-126.47252233992111,-5.744185588913183,6.216633491309794,28.692783038748168,-23.45028929260933,3.3,1.48,,,,87.0,2609.0,6.6,777303,689414,676572,691594,681393,672640,669065,667472,660821,53.89,,0.0,0.0,1.0,0.0,0.0,,79,5,Slider,4,6,4,6,6,4,4,6,Infield shade,Standard,64.0,-0.014,-0.219,62.1,8.7,,0.219,,-2,-2,0.014,0.014,25,28,25,28,1,3,2.0,2.0,,,2.33,-0.68,0.68,42.8,30.74593810220294,-32.25133370140085,39.3374179234551,30.33428099943764,50.56666569490996
FF,2025-06-29,97.2,-1.68,5.32,"Henriquez, Ronny",645444,678692,,ball,,,,,11.0,Jose Herrera strikes out swinging.,R,L,R,AZ,MIA,B,,,1,2,2025,-0.44,1.37,-1.31,5.01,,,,2,9,Bot,,,,,,,2.017832001274167,-141.54866492684326,1.5592433343492118,-6.39059610860546,34.34094468731574,-14.386431038103492,3.41,1.34,,,,97.3,2536.0,6.5,777303,689414,676572,691594,681393,672640,669065,667472,660821,54.04,,,,,,,,79,4,4-Seam Fastball,4,6,4,6,6,4,4,6,Infield shade,Standard,218.0,0.0,0.039,,,,-0.039,,-2,-2,0.014,0.014,25,28,25,28,1,3,2.0,2.0,,,1.05,0.44,-0.44,43.6,,,,,
FF,2025-06-29,98.1,-1.83,5.31,"Henriquez, Ronny",645444,678692,,called_strike,,,,,4.0,Jose Herrera strikes out swinging.,R,L,R,AZ,MIA,S,,,1,1,2025,-0.58,1.47,-0.53,2.23,,,,2,9,Bot,,,,,,,4.887999321544647,-142.66646051628584,-6.228435851679463,-9.086714316269816,34.687343254139954,-10.9208363842116,3.43,1.41,,,,98.4,2499.0,6.6,777303,689414,676572,691594,681393,672640,669065,667472,660821,53.91,,,,,,,,79,3,4-Seam Fastball,4,6,4,6,6,4,4,6,Standard,Standard,215.0,0.0,-0.064,,,,0.064,,-2,-2,0.014,0.014,25,28,25,28,1,3,2.0,2.0,,,0.92,0.58,-0.58,43.2,,,,,
CH,2025-06-29,92.1,-2.2,5.21,"Henriquez, Ronny",645444,678692,,swinging_strike,,,,,7.0,Jose Herrera strikes out swinging.,R,L,R,AZ,MIA,S,,,1,0,2025,-1.26,0.39,-0.47,1.52,,,,2,9,Bot,,,,,,,7.1497068164778375,-133.8340874182939,-4.301324050654178,-16.762421514129258,31.91360193807522,-26.69549413725928,3.3,1.48,,,,91.9,1669.0,6.5,777303,689414,676572,691594,681393,672640,669065,667472,660821,53.99,,,,,,,,79,2,Changeup,4,6,4,6,6,4,4,6,Standard,Standard,240.0,0.0,-0.051,72.5,7.9,,0.051,,-2,-2,0.014,0.014,25,28,25,28,1,3,2.0,2.0,,,2.33,1.26,-1.26,33.1,14.140595262134074,-11.53329110403561,36.51105195114939,39.92000497599157,31.73183937146147
FF,2025-06-29,97.5,-1.63,5.36,"Henriquez, Ronny",645444,678692,,ball,,,,,11.0,Jose Herrera strikes out swinging.,R,L,R,AZ,MIA,B,,,0,0,2025,-0.42,1.45,-1.02,3.91,,,,2,9,Bot,,,,,,,2.619423663986545,-141.91331666737008,-1.6987230893044616,-6.343960240866887,34.71638410888021,-12.479541769111965,3.5,1.51,,,,97.9,2548.0,6.6,777303,689414,676572,691594,681393,672640,669065,667472,660821,53.86,,,,,,,,79,1,4-Seam Fastball,4,6,4,6,6,4,4,6,Standard,Standard,210.0,0.0,0.04,,,,-0.04,,-2,-2,0.014,0.014,25,28,25,28,1,3,2.0,2.0,,,0.96,0.42,-0.42,47.7,,,,,
FF,2025-06-29,98.4,-1.62,5.26,"Henriquez, Ronny",677950,678692,field_out,hit_into_play,,,,,12.0,"Alek Thomas grounds out softly, first baseman Eric Wagaman to pitcher Ronny Henriquez.",R,L,R,AZ,MIA,X,3.0,ground_ball,1,2,2025,-0.2,1.55,1.0,3.4,,,,1,9,Bot,145.32,167.0,,,,,7.59107001456147,-143.02800075118438,-3.163443625897917,-4.597485287959536,34.230627283983054,-10.408530306800587,3.26,1.35,4.0,43.8,-38.0,98.4,2540.0,6.5,777303,689414,676572,691594,681393,672640,669065,667472,660821,54.05,0.277,0.293,0.0,1.0,0.0,0.0,1.0,78,5,4-Seam Fastball,4,6,4,6,6,4,4,6,Infield shade,Standard,211.0,-0.029,-0.182,50.9,5.8,0.3,0.182,88.0,-2,-2,0.043,0.043,25,25,25,25,1,3,2.0,1.0,,,0.82,0.2,-0.2,46.4,11.61661655284743,2.8243906574786006,15.931924095546307,22.585875980690982,27.430365512402773
FF,2025-06-29,98.7,-1.67,5.34,"Henriquez, Ronny",677950,678692,,foul,,,,,2.0,"Alek Thomas grounds out softly, first baseman Eric Wagaman to pitcher Ronny Henriquez.",R,L,R,AZ,MIA,S,,,1,2,2025,-0.59,1.44,0.24,2.77,,,,1,9,Bot,,,,,,,6.579706305064224,-143.51695080674935,-4.900271323442173,-9.670334135808258,33.531349569184854,-11.372533201403344,3.26,1.35,211.0,78.1,21.0,98.8,2755.0,6.4,777303,689414,676572,691594,681393,672640,669065,667472,660821,54.07,,,,,,,,78,4,4-Seam Fastball,4,6,4,6,6,4,4,6,Infield shade,Standard,214.0,0.0,0.0,70.2,6.3,,0.0,88.0,-2,-2,0.043,0.043,25,25,25,25,1,3,2.0,1.0,,,0.91,0.59,-0.59,43.2,-0.844367332193427,7.967656027992157,27.241762062573343,32.87289237612009,28.46080782589561
SL,2025-06-29,88.8,-2.05,5.1,"Henriquez, Ronny",677950,678692,,ball,,,,,14.0,"Alek Thomas grounds out softly, first baseman Eric Wagaman to pitcher Ronny Henriquez.",R,L,R,AZ,MIA,B,,,0,2,2025,0.4,0.65,0.72,0.65,,,,1,9,Bot,,,,,,,5.989793848359889,-129.18119765156783,-6.261035191055298,3.23988461159847,25.880855178185275,-23.834049745844503,3.24,1.34,,,,89.5,2502.0,6.6,777303,689414,676572,691594,681393,672640,669065,667472,660821,53.87,,,,,,,,78,3,Slider,4,6,4,6,6,4,4,6,Infield shade,Standard,87.0,0.0,0.02,,,,-0.02,,-2,-2,0.043,0.043,25,25,25,25,1,3,2.0,1.0,,,2.24,-0.4,0.4,40.4,,,,,
CH,2025-06-29,92.5,-2.46,5.15,"Henriquez, Ronny",677950,678692,,foul,,,,,11.0,"Alek Thomas grounds out softly, first baseman Eric Wagaman to pitcher Ronny Henriquez.",R,L,R,AZ,MIA,S,,,0,1,2025,-1.32,0.41,-0.9,2.45,,,,1,9,Bot,,,,,,,6.867199212583197,-134.56334300029658,-2.0076440481296447,-17.57364450865812,27.95441933853964,-26.909612469168582,3.26,1.35,,,,92.8,1636.0,6.4,777303,689414,676572,691594,681393,672640,669065,667472,660821,54.14,,,,,,,,78,2,Changeup,4,6,4,6,6,4,4,6,Standard,Standard,242.0,0.0,-0.057,77.0,7.1,,0.057,,-2,-2,0.043,0.043,25,25,25,25,1,3,2.0,1.0,,,2.24,1.32,-1.32,31.6,10.10905314106241,5.003597688389046,20.321015082517164,45.5276227286726,29.195119998276084
SL,2025-06-29,88.6,-2.1,5.28,"Henriquez, Ronny",677950,678692,,foul,,,,,1.0,"Alek Thomas grounds out softly, first baseman Eric Wagaman to pitcher Ronny Henriquez.",R,L,R,AZ,MIA,S,,,0,0,2025,0.59,0.2,-0.4,2.73,,,,1,9,Bot,,,,,,,2.928695080231704,-129.13526654903455,-0.6481934864109284,6.0342997877351685,25.144529738209418,-29.954921155758605,3.26,1.35,,,,89.3,2615.0,6.5,777303,689414,676572,691594,681393,672640,669065,667472,660821,54.03,,,,,,,,78,1,Slider,4,6,4,6,6,4,4,6,Standard,Standard,131.0,0.0,-0.037,76.3,7.8,,0.037,,-2,-2,0.043,0.043,25,25,25,25,1,3,2.0,1.0,,,2.67,-0.59,0.59,42.7,21.804383154351964,-18.19378981330796,20.428575734953483,40.43647771474392,42.7134096649782
