pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2025-06-29,88.3,-0.92,6.28,"Kinley, Tyler",702332,641755,field_out,hit_into_play,,,,,5.0,Caleb Durbin flies out to left fielder Jordan Beck.,R,R,R,MIL,COL,X,7.0,fly_ball,0,0,2025,0.14,0.17,0.25,2.48,,668930.0,,2,11,Bot,57.22,84.27,,,,,2.5380373828653404,-128.80320374085971,-3.6694476919604497,1.1703457275007203,19.978586595809023,-29.796068539858314,3.33,1.49,331.0,89.6,33.0,88.6,2548.0,5.8,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.71,0.031,0.046,0.0,1.0,0.0,0.0,3.0,88,1,Slider,3,4,3,4,4,3,3,4,Standard,Standard,184.0,-0.142,-0.301,65.5,7.4,0.082,0.301,89.6,-1,-1,0.142,0.142,34,25,34,25,1,4,1.0,1.0,,,2.68,-0.14,-0.14,49.0,8.806852346893953,-11.712983171317283,26.05747671841468,36.66478691752375,29.87819140265796
SL,2025-06-29,89.0,-0.93,6.37,"Kinley, Tyler",686555,641755,strikeout,called_strike,,,,,2.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,S,2.0,,3,2,2025,0.2,0.05,0.1,2.89,,668930.0,,1,11,Bot,,,,,,,2.10480780436222,-129.72143129598223,-2.670684674680352,1.8410750008646208,23.83185148165312,-31.280210244269465,3.24,1.58,,,,88.5,2649.0,5.6,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.9,,0.0,0.0,1.0,0.0,0.0,,87,8,Slider,3,4,3,4,4,3,3,4,Standard,Standard,108.0,-0.136,-0.291,,,,0.291,,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.79,-0.2,0.2,44.0,,,,,
SL,2025-06-29,90.1,-0.98,6.32,"Kinley, Tyler",686555,641755,,foul,,,,,5.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,S,,,3,2,2025,0.21,0.3,0.11,2.38,,668930.0,,1,11,Bot,,,,,,,2.242453426084403,-131.3790190227382,-4.512444712776457,2.0633058635579795,23.97466234702787,-28.074442813609423,3.31,1.55,154.0,73.0,71.0,89.8,2770.0,5.7,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.82,,,,,,,,87,7,Slider,3,4,3,4,4,3,3,4,Standard,Standard,141.0,0.0,0.0,81.9,6.9,,0.0,88.0,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.47,-0.21,0.21,44.0,5.720657350925076,-9.087443868851896,30.805111530797934,37.980889612122034,30.238212473440434
SL,2025-06-29,89.0,-0.7,6.27,"Kinley, Tyler",686555,641755,,ball,,,,,14.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,B,,,2,2,2025,0.29,-0.05,1.71,1.61,,668930.0,,1,11,Bot,,,,,,,5.251140328596157,-129.66022634354465,-5.4040638862718575,2.4707253478360074,21.990731511534698,-31.93035597813823,3.25,1.55,,,,89.1,2706.0,5.9,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.64,,,,,,,,87,6,Slider,3,4,3,4,4,3,3,4,Standard,Standard,292.0,0.0,0.074,,,,-0.074,,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.87,-0.29,0.29,44.7,,,,,
SL,2025-06-29,90.3,-0.97,6.4,"Kinley, Tyler",686555,641755,,foul,,,,,6.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,S,,,2,2,2025,0.14,0.24,0.44,2.32,,668930.0,,1,11,Bot,,,,,,,3.17585937177539,-131.73937674156252,-4.853012520924556,1.2146868988592892,20.59587384081931,-28.71596026442913,3.31,1.55,378.0,101.4,29.0,90.6,2727.0,5.7,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.78,,,,,,,,87,5,Slider,3,4,3,4,4,3,3,4,Standard,Standard,172.0,0.0,0.0,75.1,7.5,,0.0,101.4,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.48,-0.14,0.14,44.4,19.20589621739857,-28.25600533783927,29.42323907775281,34.40223982437447,43.67428373856548
SL,2025-06-29,88.2,-1.07,6.36,"Kinley, Tyler",686555,641755,,swinging_strike_blocked,,,,,14.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,S,,,2,1,2025,0.04,0.2,0.7,0.74,,668930.0,,1,11,Bot,,,,,,,4.160281146579388,-128.27147491410807,-7.918976592422873,-0.3807449959408347,25.95848320972866,-28.54245841435069,3.31,1.55,,,,87.2,2548.0,5.7,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.84,,,,,,,,87,4,Slider,3,4,3,4,4,3,3,4,Standard,Standard,219.0,0.0,-0.082,69.9,8.5,,0.082,,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.73,-0.04,0.04,44.4,31.50734483484617,-35.852344761792104,38.88035773401048,33.32398119298256,49.70320580924627
SL,2025-06-29,89.2,-0.94,6.36,"Kinley, Tyler",686555,641755,,foul,,,,,5.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,S,,,2,0,2025,0.26,0.35,0.16,2.63,,668930.0,,1,11,Bot,,,,,,,2.163066136710344,-129.92156368271415,-3.918903676307541,2.511947055937344,24.8145009353816,-27.62517330040223,3.31,1.55,206.0,75.2,23.0,88.7,2620.0,5.7,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.8,,,,,,,,87,3,Slider,3,4,3,4,4,3,3,4,Standard,Standard,177.0,0.0,-0.047,74.1,7.2,,0.047,88.0,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.49,-0.26,0.26,43.5,11.559354647103037,-20.374536300864783,27.291335882402347,39.4373580275477,36.415619254522205
SL,2025-06-29,88.1,-1.0,6.4,"Kinley, Tyler",686555,641755,,ball,,,,,11.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,B,,,1,0,2025,0.26,0.29,-0.34,4.08,,668930.0,,1,11,Bot,,,,,,,1.05538716365501,-128.4089144371537,-0.1823330740367345,2.6570010442149883,25.759763173422417,-29.136409329100385,3.28,1.62,,,,87.3,2558.0,5.6,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.88,,,,,,,,87,2,Slider,3,4,3,4,4,3,3,4,Standard,Standard,149.0,0.0,0.042,,,,-0.042,,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,2.63,-0.26,0.26,50.0,,,,,
SL,2025-06-29,86.1,-0.93,6.46,"Kinley, Tyler",686555,641755,,ball,,,,,11.0,Isaac Collins called out on strikes.,R,L,R,MIL,COL,B,,,0,0,2025,0.29,-0.06,-1.42,3.34,,668930.0,,1,11,Bot,,,,,,,-1.7252248364164258,-125.54459496197528,-1.119859782022258,3.4482130673610936,23.456234104490253,-32.84412971302149,3.34,1.58,,,,85.2,2620.0,5.4,777301,690924,669911,642731,641857,606115,687597,686668,656541,55.07,,,,,,,,87,1,Slider,3,4,3,4,4,3,3,4,Standard,Standard,113.0,0.0,0.027,,,,-0.027,,-1,-1,0.278,0.278,34,27,34,28,1,4,1.0,2.0,,,3.11,-0.29,0.29,48.8,,,,,
CU,2025-06-29,83.5,-0.88,6.43,"Kinley, Tyler",641343,641755,strikeout,called_strike,,,,,4.0,Jake Bauers called out on strikes.,R,L,R,MIL,COL,S,2.0,,0,2,2025,0.62,-0.95,-0.78,2.43,,668930.0,,0,11,Bot,,,,,,,-0.9743342423882864,-121.62111276994744,-0.8831827134022803,6.318601852952626,25.458490458669115,-41.61312790391285,3.54,1.68,,,,82.3,2893.0,5.6,777301,690924,669911,642731,641857,606115,687597,686668,656541,54.92,,0.0,0.0,1.0,0.0,0.0,,86,3,Curveball,3,4,3,4,4,3,3,4,Infield shade,Standard,33.0,-0.16,-0.206,,,,0.206,,-1,-1,0.438,0.438,34,29,34,30,1,0,1.0,1.0,,,4.23,-0.62,0.62,46.7,,,,,
