pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-06-29,91.8,-0.84,6.01,"Suarez, Robert",666181,663158,single,hit_into_play,,,,,9.0,Will Benson singles on a line drive to right fielder Fernando Tatis Jr. Gavin Lux scores. Spencer Steer to 3rd. Jose Trevino to 2nd.,R,L,R,CIN,SD,X,9.0,line_drive,2,1,2025,-1.21,0.51,0.45,2.32,666158.0,668715.0,624431.0,1,9,Bot,189.03,136.86,,,,,5.947607686581545,-133.52502498312916,-4.644743969749248,-15.706133380112796,28.5633670772887,-25.26213912943064,3.83,1.8,220.0,98.2,14.0,93.0,1673.0,7.0,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.51,0.909,0.879,0.9,1.0,1.0,0.0,4.0,77,4,Changeup,2,2,2,2,2,3,3,2,Strategic,Strategic,236.0,0.171,0.399,73.7,7.7,1.134,-0.399,98.2,0,0,0.829,0.829,34,27,34,27,1,3,1.0,1.0,,,2.2,1.21,-1.21,41.7,16.904469946256054,-14.767016581340386,37.45848572746586,34.52739078633336,34.74705466590645
CH,2025-06-29,91.5,-0.94,5.97,"Suarez, Robert",666181,663158,,ball,,,,,14.0,Will Benson singles on a line drive to right fielder Fernando Tatis Jr. Gavin Lux scores. Spencer Steer to 3rd. Jose Trevino to 2nd.,R,L,R,CIN,SD,B,,,1,1,2025,-1.12,0.42,0.25,1.26,666158.0,668715.0,624431.0,1,9,Bot,,,,,,,5.47860398939072,-133.11407864726135,-6.991425555169871,-14.468220003571526,27.751304948460405,-25.93854843957969,3.83,1.69,,,,92.7,1769.0,6.9,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.56,,,,,,,,77,3,Changeup,2,2,2,2,2,2,2,2,Strategic,Standard,224.0,0.0,0.058,,,,-0.058,,0,0,0.829,0.829,34,27,34,27,1,3,1.0,1.0,,,2.3,1.12,-1.12,43.0,,,,,
FF,2025-06-29,99.9,-0.92,6.18,"Suarez, Robert",666181,663158,,ball,,,,,11.0,Will Benson singles on a line drive to right fielder Fernando Tatis Jr. Gavin Lux scores. Spencer Steer to 3rd. Jose Trevino to 2nd.,R,L,R,CIN,SD,B,,,0,1,2025,-0.56,1.22,-0.89,3.06,666158.0,668715.0,624431.0,1,9,Bot,,,,,,,1.4189735960301733,-145.4910785870161,-6.155760409123774,-8.31597031697714,34.03128017367085,-13.677229477580914,3.84,1.7,,,,101.0,2245.0,6.8,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.67,,,,,,,,77,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,209.0,0.0,0.017,,,,-0.017,,0,0,0.829,0.829,34,27,34,27,1,3,1.0,1.0,,,1.06,0.56,-0.56,40.1,,,,,
CH,2025-06-29,89.8,-0.99,6.04,"Suarez, Robert",666181,663158,,called_strike,,,,,8.0,Will Benson singles on a line drive to right fielder Fernando Tatis Jr. Gavin Lux scores. Spencer Steer to 3rd. Jose Trevino to 2nd.,R,L,R,CIN,SD,S,,,0,0,2025,-1.17,0.65,0.19,2.22,666158.0,668715.0,624431.0,1,9,Bot,,,,,,,5.48455308645032,-130.67457054919888,-4.909720387576196,-14.590572076506676,25.929552722348305,-23.952324427680143,3.82,1.68,,,,91.0,1656.0,6.9,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.61,,,,,,,,77,1,Changeup,2,2,2,2,2,2,2,2,Strategic,Standard,235.0,0.0,-0.041,,,,0.041,,0,0,0.829,0.829,34,27,34,27,1,3,1.0,1.0,,,2.17,1.17,-1.17,40.2,,,,,
FF,2025-06-29,98.0,-0.84,6.24,"Suarez, Robert",624431,663158,single,hit_into_play,,,,,3.0,Jose Trevino singles on a ground ball to right fielder Fernando Tatis Jr. Gavin Lux to 3rd. Spencer Steer to 2nd.,R,R,R,CIN,SD,X,9.0,ground_ball,0,1,2025,-0.43,1.43,0.49,3.16,,666158.0,668715.0,1,9,Bot,171.18,113.17,,,,,4.637495947459917,-142.54793601785852,-6.205322779722619,-6.900584803810329,32.813528831936175,-11.389530034556367,3.24,1.49,117.0,94.6,5.0,99.0,2229.0,6.9,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.63,0.46,0.421,0.9,1.0,1.0,0.0,4.0,76,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,203.0,0.126,0.519,69.8,6.6,0.515,-0.519,94.6,0,0,0.703,0.703,34,32,34,33,1,3,1.0,4.0,,,0.94,0.43,0.43,43.3,6.334306444226441,19.166936760706573,17.32902543643371,46.65527760710533,21.162829567808323
FF,2025-06-29,98.7,-0.95,6.18,"Suarez, Robert",624431,663158,,foul,,,,,7.0,Jose Trevino singles on a ground ball to right fielder Fernando Tatis Jr. Gavin Lux to 3rd. Spencer Steer to 2nd.,R,R,R,CIN,SD,S,,,0,0,2025,-0.59,1.37,-0.52,1.99,,666158.0,668715.0,1,9,Bot,,,,,,,2.5900841794378784,-143.47494412376065,-9.197447452594083,-8.771250788357023,34.10123080254139,-11.371212145288236,3.24,1.49,95.0,71.2,74.0,99.5,2414.0,6.9,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.64,,,,,,,,76,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,204.0,0.0,-0.039,68.5,7.2,,0.039,88.0,0,0,0.703,0.703,34,32,34,33,1,3,1.0,4.0,,,0.98,0.59,0.59,46.5,0.7311180918169673,-6.424466051173723,30.28500483185936,33.06186244550857,27.151147539507846
SI,2025-06-29,96.8,-0.68,6.26,"Suarez, Robert",668715,663158,single,hit_into_play,,,,,2.0,Spencer Steer singles on a line drive to center fielder Jackson Merrill. Elly De La Cruz scores. Gavin Lux to 2nd.,R,R,R,CIN,SD,X,8.0,line_drive,1,1,2025,-1.02,1.06,-0.2,2.88,,682829.0,666158.0,1,9,Bot,136.54,90.36,,,,,3.632214531347669,-140.9599015073549,-5.987578727197079,-14.471106057962812,30.31829489137432,-16.915246053281205,3.33,1.53,212.0,85.2,14.0,98.1,2323.0,6.8,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.66,0.897,0.854,0.9,1.0,1.0,0.0,4.0,75,3,Sinker,1,2,1,2,2,2,2,2,Standard,Standard,201.0,0.377,0.504,71.9,6.5,1.047,-0.504,88.0,-1,-1,0.326,0.326,34,27,34,28,1,3,1.0,1.0,,,1.36,1.02,1.02,48.3,0.3132307018560362,13.645311995916758,24.13603108670013,32.1619535719145,23.24031962090764
FF,2025-06-29,96.4,-0.8,6.25,"Suarez, Robert",668715,663158,,foul,,,,,4.0,Spencer Steer singles on a line drive to center fielder Jackson Merrill. Elly De La Cruz scores. Gavin Lux to 2nd.,R,R,R,CIN,SD,S,,,1,0,2025,-0.83,1.07,-0.75,2.33,,682829.0,666158.0,1,9,Bot,,,,,,,2.0394778657651766,-140.3864052981019,-7.406534370882808,-11.464116585804392,28.37726417978705,-16.631605105491015,3.33,1.53,13.0,81.8,-10.0,97.7,2277.0,6.7,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.75,,,,,,,,75,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,204.0,0.0,-0.054,73.6,7.4,,0.054,88.0,-1,-1,0.326,0.326,34,27,34,28,1,3,1.0,1.0,,,1.36,0.83,0.83,47.7,12.535088636526863,-8.147965754563254,32.21314415892537,26.36788850462144,32.738133156871235
FF,2025-06-29,98.6,-0.85,6.26,"Suarez, Robert",668715,663158,,ball,,,,,12.0,Spencer Steer singles on a line drive to center fielder Jackson Merrill. Elly De La Cruz scores. Gavin Lux to 2nd.,R,R,R,CIN,SD,B,,,0,0,2025,-0.35,1.36,0.48,3.85,,682829.0,666158.0,1,9,Bot,,,,,,,4.481721545417128,-143.48720508270674,-4.299669682587791,-5.881179819035926,33.53143837329739,-12.570100237063894,3.42,1.63,,,,99.6,2358.0,6.8,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.65,,,,,,,,75,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,207.0,0.0,0.03,,,,-0.03,,-1,-1,0.326,0.326,34,27,34,28,1,3,1.0,1.0,,,0.98,0.35,0.35,45.8,,,,,
FF,2025-06-29,98.2,-0.9,6.28,"Suarez, Robert",666158,663158,walk,ball,,,,,11.0,Gavin Lux walks. Elly De La Cruz to 2nd.,R,L,R,CIN,SD,B,,,3,0,2025,-0.54,1.56,-0.95,4.21,,,682829.0,1,9,Bot,,,,,,,1.1200821397781038,-143.02679865048017,-3.7742263884306206,-7.6778828524485245,33.629122127207935,-10.177401384650906,3.24,1.55,,,,99.1,2474.0,6.8,777312,553869,650333,630105,642180,578428,669369,701538,665487,53.72,,0.693943,0.7,1.0,0.0,0.0,,74,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,206.0,0.12,0.12,,,,-0.12,,-1,-1,0.206,0.206,34,27,34,28,1,3,1.0,1.0,,,0.81,0.54,-0.54,46.8,,,,,
